experiment,method,delta_ratio,trial,hausdorff,status,predicted_num_chgpts,estimated_changepoints,true_changepoints
M2,WERM,5.5,21,0.011818181818181818,ok,2,"442,757","440,770"
M2,WERM,5.5,22,0.0,ok,2,"440,770","440,770"
M2,WERM,5.5,23,0.004545454545454545,ok,2,"445,769","440,770"
M2,WERM,5.5,24,0.0018181818181818182,ok,2,"440,768","440,770"
M2,WERM,5.5,25,0.0009090909090909091,ok,2,"441,771","440,770"
M2,WERM,5.5,26,0.012727272727272728,ok,2,"440,756","440,770"
M2,WERM,5.5,27,0.006363636363636364,ok,2,"447,771","440,770"
M2,WERM,5.5,28,0.015454545454545455,ok,2,"440,753","440,770"
M2,WERM,5.5,29,0.006363636363636364,ok,2,"441,763","440,770"
M2,WERM,6.5,0,0.018461538461538463,ok,2,"522,885","520,909"
M2,WERM,6.5,1,0.002307692307692308,ok,2,"521,906","520,909"
M2,WERM,6.5,2,0.0007692307692307692,ok,2,"520,908","520,909"
M2,WERM,6.5,3,0.005384615384615384,ok,2,"527,908","520,909"
M2,WERM,6.5,4,0.0,ok,2,"520,909","520,909"
M2,WERM,6.5,5,0.02923076923076923,ok,2,"518,871","520,909"
M2,WERM,6.5,6,0.014615384615384615,ok,2,"522,890","520,909"
M2,WERM,6.5,7,0.05846153846153846,ok,2,"522,833","520,909"
M2,WERM,6.5,8,0.025384615384615384,ok,2,"522,876","520,909"
M2,WERM,6.5,9,0.0007692307692307692,ok,2,"520,908","520,909"
M2,WERM,6.5,10,0.0015384615384615385,ok,2,"519,907","520,909"
M2,WERM,6.5,11,0.008461538461538461,ok,2,"519,898","520,909"
M2,WERM,6.5,12,0.002307692307692308,ok,2,"521,906","520,909"
M2,WERM,6.5,13,0.002307692307692308,ok,2,"520,906","520,909"
M2,WERM,6.5,14,0.002307692307692308,ok,2,"517,912","520,909"
M2,WERM,6.5,15,0.005384615384615384,ok,2,"523,902","520,909"
M2,WERM,6.5,16,0.003076923076923077,ok,2,"519,905","520,909"
M2,WERM,6.5,17,0.0015384615384615385,ok,2,"522,910","520,909"
M2,WERM,6.5,18,0.008461538461538461,ok,2,"514,898","520,909"
M2,WERM,6.5,19,0.043076923076923075,ok,2,"519,853","520,909"
M2,WERM,6.5,20,0.0007692307692307692,ok,2,"520,910","520,909"
M2,WERM,6.5,21,0.0015384615384615385,ok,2,"518,908","520,909"
M2,WERM,6.5,22,0.2846153846153846,ok,1,539,"520,909"
M2,WERM,6.5,23,0.0015384615384615385,ok,2,"520,907","520,909"
M2,WERM,6.5,24,0.0007692307692307692,ok,2,"520,908","520,909"
M2,WERM,6.5,25,0.006153846153846154,ok,2,"520,901","520,909"
M2,WERM,6.5,26,0.0,ok,2,"520,909","520,909"
M2,WERM,6.5,27,0.045384615384615384,ok,2,"518,850","520,909"
M2,WERM,6.5,28,0.013846153846153847,ok,2,"520,891","520,909"
M2,WERM,6.5,29,0.0007692307692307692,ok,2,"519,909","520,909"
M2,WERM,7.5,0,0.005333333333333333,ok,2,"608,1051","600,1050"
M2,WERM,7.5,1,0.002,ok,2,"598,1047","600,1050"
M2,WERM,7.5,2,0.0013333333333333333,ok,2,"602,1049","600,1050"
M2,WERM,7.5,3,0.0013333333333333333,ok,2,"600,1048","600,1050"
M2,WERM,7.5,4,0.0013333333333333333,ok,2,"599,1048","600,1050"
M2,WERM,7.5,5,0.007333333333333333,ok,2,"611,1050","600,1050"
M2,WERM,7.5,6,0.008,ok,2,"600,1038","600,1050"
M2,WERM,7.5,7,0.0006666666666666666,ok,2,"600,1051","600,1050"
M2,WERM,7.5,8,0.0006666666666666666,ok,2,"599,1051","600,1050"
M2,WERM,7.5,9,0.0006666666666666666,ok,2,"600,1049","600,1050"
M2,WERM,7.5,10,0.002,ok,2,"603,1051","600,1050"
